Mon May  3 17:11:59 2021    C:\Users\piyus\AppData\Local\Programs\Python\Python38\output.prof

         193221 function calls (189531 primitive calls) in 0.593 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:2418(cumsum)
       40    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:2486(_ptp_dispatcher)
       40    0.000    0.000    0.001    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:2490(ptp)
      627    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:2584(_amax_dispatcher)
      627    0.001    0.000    0.007    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:2589(amax)
      622    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:2709(_amin_dispatcher)
      622    0.001    0.000    0.008    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:2714(amin)
       86    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:3071(_ndim_dispatcher)
       86    0.000    0.000    0.001    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:3075(ndim)
      200    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:3164(_around_dispatcher)
      100    0.000    0.000    0.002    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:3168(around)
      100    0.000    0.000    0.002    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:3628(round_)
      251    0.000    0.000    0.002    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\_methods.py:37(_amax)
      151    0.000    0.000    0.002    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\_methods.py:41(_amin)
       42    0.000    0.000    0.001    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\_methods.py:45(_sum)
        3    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\_methods.py:53(_any)
        5    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\_methods.py:56(_all)
       84    0.001    0.000    0.002    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\_methods.py:72(_clip_dep_is_scalar_nan)
       84    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\_methods.py:82(_clip_dep_is_byte_swapped)
       42    0.001    0.000    0.001    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\_methods.py:87(_clip_dep_invoke_with_casting)
       42    0.000    0.000    0.003    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\_methods.py:106(_clip)
       40    0.000    0.000    0.001    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\_methods.py:245(_ptp)
       88    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(reshape)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(sort)
       42    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nonzero)
       42    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(clip)
      156    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(any)
       17    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(all)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(cumsum)
       40    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ptp)
      627    0.001    0.000    0.009    0.000 <__array_function__ internals>:2(amax)
      622    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(amin)
